video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=MLfaRqVK5NQ&pp=ygULbWlkZGxlIGVhc3Q%3D,/@ABCNews,ABC News,US deploys Marines to the Middle East,379K,2 days,The U.S. struck an Iranian oil hub as 5000 U.S. forces are deployed to the region. Subscribe to ABC News on YouTube: ...,2026-03-17 03:12:21.975657
/shorts/-Ls3yuZc4TE,/@njdotcom,NJ.com,Trump's fiery exchange with reporters on Air Force One,950,1 hour,... on Air Force One as he responds to questions about troop deployment to the Middle East and criticizes a news organization.,2026-03-17 03:12:21.977196
/watch?v=IU0JsT3m-dc&pp=ygULbWlkZGxlIGVhc3Q%3D,/@livenowfox,LiveNOW from FOX,War in the Middle East enters its third week,366K,2 days,The conflict between the U.S. and the Middle East has entered its third week. We're hearing reporters that the U.S. conducted a ...,2026-03-17 03:12:21.978778
/shorts/ZjzJzUnDPQQ,/@Wfaa8,WFAA,More troops deploying to Middle East,13K,1 day,"2500 U.S. Marines are deploying to the Middle East, but an official said the move does not indicate a ground operation will take ...",2026-03-17 03:12:21.980329
/shorts/z3ArTI82vjM,/@ABC7Chicago,ABC 7 Chicago,Pope escalates call for ceasefire in Middle East,13K,1 day,Streaming now at https://abc7chicago.com/watch/live/11064984/. Pope Leo XIV has urged a ceasefire in the Middle East and ...,2026-03-17 03:12:21.982030
/watch?v=5mLCTjkA7xI&pp=ygULbWlkZGxlIGVhc3Q%3D,/@abc7NY,Eyewitness News ABC7NY,Pentagon sends thousands of marines to Middle East,150K,2 days,Lauren Glassberg has the latest on the war with Iran. Check out more Eyewitness News - http://abc7ny.com/ Find us on social ...,2026-03-17 03:12:21.983466
/watch?v=7E-JmS7M7J8&pp=ygULbWlkZGxlIGVhc3Q%3D,/@livenowfox,LiveNOW from FOX,Middle East conflict: US military targets naval threats,153K,15 hours,U.S. Central Command provided an update on Monday. Admiral Cooper said the military is focused on destroying naval threats.,2026-03-17 03:12:21.984806
/watch?v=RQnDIwmvLrg&pp=ygULbWlkZGxlIGVhc3Q%3D,/@France24_en,FRANCE 24 English,Replay: UK PM Keir Starmer addresses Middle East war following Trump threats • FRANCE 24 English,66K,16 hours,Rewatch as British Prime Minister Keir Starmer addresses the war in the Middle East following Trump's threat that lack of ally help ...,2026-03-17 03:12:21.985993
/watch?v=KSmeLoLt2H8&pp=ygULbWlkZGxlIGVhc3Q%3D,/@PIX11News,PIX11 News,Trump demands coalition to secure Middle East oil route,2.6K,13 hours,"Iran continued to cut off the flow of oil through the Strait of Hormuz, choking off a fifth of global supply.",2026-03-17 03:12:21.987125
/watch?v=sITkslfpKsA&pp=ygULbWlkZGxlIGVhc3Q%3D,/@ABCNews,ABC News,"2,200 Marine unit, 3 warships ordered to head to Middle East",196K,3 days,"Marine expeditionary unit with 2200 Marines aboard three U.S. Navy amphibious ships is being ordered to the Middle East, ...",2026-03-17 03:12:21.988566
/watch?v=q6m5RXijowE&pp=ygULbWlkZGxlIGVhc3Q%3D,/@msnow,MS NOW,Iran launches new attacks across Middle East,176K,4 days,Iran is ramping up its attacks on shipping traffic and energy infrastructure. Shashank Joshi discusses. MS NOW: My Source for ...,2026-03-17 03:12:21.989987
/watch?v=G9U_5ehha6w&pp=ygULbWlkZGxlIGVhc3Q%3D,/@cnnnews18,CNN-News18,Trump Losing Allies In Middle East Conflict? Rising Tensions With Iran-Israel | Brass Tacks | News18,1.5K,11 hours,"Amid escalating tensions between the United States, Israel, and Iran, concerns are growing that Donald Trump may be losing ...",2026-03-17 03:12:21.991185
/shorts/cuyDsYdlggc,/@wajeehwest,Wajeeh West,Latest update from the Middle East,28K,1 day,Here's the latest update for being stranded in the Middle East so as we know the US government said they'll put me in a flight to ...,2026-03-17 03:12:21.992464
/watch?v=GlTQlVclkpU&pp=ygULbWlkZGxlIGVhc3TSBwkJwwoBhyohjO8%3D,/@livenowfox,LiveNOW from FOX,U.S. sends more Marines to the Middle East,278K,3 days,"We're hearing reports that the U.S. is expected to deploy thousands of troops to the Middle East, as Iran blocks the world's most ...",2026-03-17 03:12:21.994072
/watch?v=gUYTLhM_30o&pp=ygULbWlkZGxlIGVhc3Q%3D,/@France24_en,FRANCE 24 English,Undercover in Iran: How French spies gather Intelligence in the Middle East • FRANCE 24 English,16K,1 day,"What role does human intelligence gathering have to play in the war in Iran? In a conflict defined by sophisticated weaponry, ...",2026-03-17 03:12:21.995363
